quote,author
He who knows others is wise; he who knows himself is enlightened.,Lao Tzu
The only journey is the journey within.,Rainer Maria Rilke
Knowing yourself is the beginning of all wisdom.,Aristotle
What lies behind us and what lies before us are tiny matters compared to what lies within us.,Ralph Waldo Emerson
"The curious paradox is that when I accept myself just as I am, then I can change.",Carl Rogers
"Until you make the unconscious conscious, it will direct your life and you will call it fate.",Carl Jung
One way to boost our will power and focus is to manage our distractions instead of letting them manage us.,Daniel Goleman
Tension is who you think you should be. Relaxation is who you are.,Chinese Proverb
"To find yourself, think for yourself.",Socrates
"Your visions will become clear only when you can look into your own heart. Who looks outside, dreams; who looks inside, awakes.",Carl Jung
The greatest discovery of any generation is that a human being can alter his life by altering his attitude.,William James
The privilege of a lifetime is to become who you truly are.,Carl Jung
"Do not dwell in the past, do not dream of the future, concentrate the mind on the present moment.",Buddha
You must find the place inside yourself where nothing is impossible.,Deepak Chopra
"In the midst of movement and chaos, keep stillness inside of you.",Deepak Chopra
Without self-awareness we are as babies in the cradles.,Virginia Woolf
Act the way you'd like to be and soon you'll be the way you act.,Leonard Cohen
Happiness is not something ready made. It comes from your own actions.,Dalai Lama
Awareness is the greatest agent for change.,Eckhart Tolle
Change your thoughts and you change your world.,Norman Vincent Peale
Feelings come and go like clouds in a windy sky. Conscious breathing is my anchor.,Thich Nhat Hanh
He who has a why to live can bear almost any how.,Friedrich Nietzsche
"Reflect upon your present blessings, of which every man has plenty; not on your past misfortunes, of which all men have some.",Charles Dickens
The best way out is always through.,Robert Frost
What we achieve inwardly will change outer reality.,Plutarch
Your pain is the breaking of the shell that encloses your understanding.,Khalil Gibran
"We don’t see things as they are, we see them as we are.",Anaïs Nin
There is no greater agony than bearing an untold story inside you.,Maya Angelou
The only limit to our realization of tomorrow will be our doubts of today.,Franklin D. Roosevelt
It is never too late to be what you might have been.,George Eliot
Everything you’ve ever wanted is on the other side of fear.,George Addair
Out of your vulnerabilities will come your strength.,Sigmund Freud
Do not let the behavior of others destroy your inner peace.,Dalai Lama
What you get by achieving your goals is not as important as what you become by achieving your goals.,Zig Ziglar
"It's not what we have in life, but who we have in our life that matters.",Unknown
"What you do makes a difference, and you have to decide what kind of difference you want to make.",Jane Goodall
The happiness of your life depends upon the quality of your thoughts.,Marcus Aurelius
Don’t limit your challenges. Challenge your limits.,Unknown
"Almost everything will work again if you unplug it for a few minutes, including you.",Anne Lamott
"You, as much as anyone in the universe, deserve your love and affection.",Buddha
Life shrinks or expands in proportion to one’s courage.,Anaïs Nin
You are never too old to set another goal or to dream a new dream.,C.S. Lewis
There is more to life than increasing its speed.,Mahatma Gandhi
Learning is a gift. Even when pain is your teacher.,Maya Watson
It is not in the stars to hold our destiny but in ourselves.,William Shakespeare
Don’t be pushed by your problems. Be led by your dreams.,Ralph Waldo Emerson
Self-command is the main elegance.,Ralph Waldo Emerson
What is necessary to change a person is to change his awareness of himself.,Abraham Maslow
"To handle yourself, use your head; to handle others, use your heart.",Eleanor Roosevelt
A man cannot be comfortable without his own approval.,Mark Twain
We can easily forgive a child who is afraid of the dark; the real tragedy of life is when men are afraid of the light.,Plato
The mind is everything. What you think you become.,Buddha
The only real failure in life is not to be true to the best one knows.,Buddha
"Choose to be optimistic, it feels better.",Dalai Lama
To dare is to lose one’s footing momentarily. To not dare is to lose oneself.,Søren Kierkegaard
"The more man meditates upon good thoughts, the better will be his world and the world at large.",Confucius
Knowing others is intelligence; knowing yourself is true wisdom.,Lao Tzu
The only way to do great work is to love what you do.,Steve Jobs
The best preparation for tomorrow is doing your best today.,H. Jackson Brown Jr.
"Be who you are and say what you feel, because those who mind don't matter, and those who matter don't mind.",Bernard M. Baruch
Follow your bliss and the universe will open doors for you where there were only walls.,Joseph Campbell
"It is not the strongest of the species that survive, nor the most intelligent, but the one most responsive to change.",Charles Darwin
"The greatest glory in living lies not in never falling, but in rising every time we fall.",Nelson Mandela
To be yourself in a world that is constantly trying to make you something else is the greatest accomplishment.,Ralph Waldo Emerson
Life is 10% what happens to us and 90% how we react to it.,Charles R. Swindoll
"You can’t go back and change the beginning, but you can start where you are and change the ending.",C.S. Lewis
Challenges are what make life interesting and overcoming them is what makes life meaningful.,Joshua J. Marine
Only in the darkness can you see the stars.,Martin Luther King Jr.
"What we think, we become.",Buddha
Be kind whenever possible. It is always possible.,Dalai Lama
Your present circumstances don't determine where you can go; they merely determine where you start.,Nido Qubein
Start where you are. Use what you have. Do what you can.,Arthur Ashe
Believe you can and you're halfway there.,Theodore Roosevelt
The journey of a thousand miles begins with one step.,Lao Tzu
"Success is not how high you have climbed, but how you make a positive difference to the world.",Roy T. Bennett
"Happiness is not by chance, but by choice.",Jim Rohn
The art of being happy lies in the power of extracting happiness from common things.,Henry Ward Beecher
"Change your life today. Don't gamble on the future, act now, without delay.",Simone de Beauvoir
You change the world by being yourself.,Yoko Ono
Be the change that you wish to see in the world.,Mahatma Gandhi
Try to be a rainbow in someone's cloud.,Maya Angelou
You don’t have to control your thoughts. You just have to stop letting them control you.,Dan Millman
Find out who you are and do it on purpose.,Dolly Parton
"No matter what people tell you, words and ideas can change the world.",Robin Williams
It is during our darkest moments that we must focus to see the light.,Aristotle Onassis
Keep your face always toward the sunshine—and shadows will fall behind you.,Walt Whitman
What you seek is seeking you.,Rumi
You are enough just as you are.,Meghan Markle
Dream big and dare to fail.,Norman Vaughan
"You have within you right now, everything you need to deal with whatever the world can throw at you.",Brian Tracy
A happy soul is the best shield for a cruel world.,Atticus
"If I cannot do great things, I can do small things in a great way.",Martin Luther King Jr.
The greatest mistake we make is living in constant fear that we will make one.,John C. Maxwell
The purpose of our lives is to be happy.,Dalai Lama
Every moment is a fresh beginning.,T.S. Eliot
Never bend your head. Always hold it high. Look the world straight in the eye.,Helen Keller
What's done is done. What's gone is gone. One of life's lessons is always moving on.,Roy T. Bennett